Names,Spin,Remnant_Mass,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7
0001,0.686461676493,0.951609417715,0.1123118680061394,0.11165493543725472,1.6317525145284528,9.077877520618024,24.194692315132997,31.5281827441803,19.878110226079183,4.942370187679839,0.6195225526104028,-0.8263481552133127,-0.8516574757431628,-0.8228108740089456,-0.7094529692539706,-0.5829186768153911,-0.4832350530832844,-0.44552049268196225
0002,0.686447876542,0.951609624635,0.10310192353889105,0.20557548096596212,3.637348850638272,20.547685456938503,54.327978249243195,69.95324340509981,43.60331372236831,10.745372385405757,0.6645868152405998,-0.8470774485568183,-1.0429604581976852,-1.0817200788195045,-1.006778887430204,-0.8997844310726061,-0.8097350517610831,-0.7763619145026187
0003,0.691447175396,0.951082695452,0.10062910712436737,0.06353355446235082,0.5704740473756781,2.727589945094389,6.858332019795458,8.659585967775735,5.337299155857625,1.3135355686415031,0.6292443856531122,-2.1963789299461034,-2.5436523886462075,-2.757604023673156,0.3331775724714668,3.4901408784409296,3.5019137996351555,3.4658655691344107
0007,0.664090940995,0.955269623847,0.10802601516213609,0.027712150243462047,0.27333706203020613,1.493585499337388,4.069565966975424,5.4506877237946,3.5348069743525796,0.9023661175912915,-0.07383744729522815,-2.349051100474094,-2.948374598315418,-3.1411044086743836,-0.005139108046912269,3.1916190662016337,3.241769694189105,3.250523641441133
0008,0.664090718508,0.955267129967,0.10905821300161425,0.037294502101943405,0.510920821190535,2.7115987021471484,6.999581816066876,9.026854256963983,5.6977844516130185,1.4214915129289625,-1.093055173163743,-0.6641891481592271,-0.4506247756685396,-0.3646161848873519,-0.22270817566557957,-0.07861812843068297,0.03575059576217613,0.0914933688520114
0015,0.674831060007,0.954807164156,0.10972091458803607,0.22155326079970625,1.5331025075861322,6.151714265056948,14.008694304794055,17.02800560183915,10.40458904654255,2.5397375028367537,1.304690840709181,-0.3907767297776005,-0.2974010086049952,-0.1095480884949827,0.13637414775555512,-2.776235345825364,0.5484948750962237,0.6551783622980349
0017,0.678118403751,0.954712534693,0.10155854963148628,0.0570663153503746,0.562596559238252,2.5603884588333172,6.186499035993547,7.733651392295357,4.793018856947545,1.1791983813951097,0.9197213352365956,-0.08274934564120616,0.17607326101367496,0.3885044628314048,0.6262030881755166,-2.300844643600576,1.0095441967328198,4.24505181317389
0018,0.674799298136,0.954800263258,0.10891222279736662,0.2601137903708024,1.9888686837318952,8.387686077357099,19.359608418668444,23.417445758295305,14.137814253469925,3.409166667942345,1.272726119268309,-0.3955412999614294,-0.33685232315936253,-0.21206440519251793,-0.024050395664315837,0.16235525267001527,0.3138528382721616,0.39635153451367855
0022,0.716692284652,0.949928425988,0.09357919401706372,0.1993832906651771,1.572676024301524,6.702037741875046,15.678445869373407,18.854421486416694,11.179604727851723,2.645529347194275,0.4987931569727896,-0.7349645982951354,-0.6875890747326372,-0.5738741426077473,-0.3725998803160486,-0.1670804268459955,0.0022668901458036215,3.225333601078191
0023,0.675278799314,0.953512795609,0.08424881546871503,0.11772614260868437,1.0544030024454951,5.126799927614193,13.100265793665345,16.984821724720003,10.796591644465147,2.706525041895275,-1.2520245870784756,0.9352032169163007,1.3020746039756859,1.5667266791179515,1.8108022445605323,2.016162136651894,2.1723528764666495,2.256176017781946
